요구사항ID,요구사항명,하위 요구사항ID,하위 요구사항명,상세 설명
REQ-BE-001,사용자 인증 및 권한 관리,REQ-BE-001-01,JWT 기반 회원가입,"이메일, 닉네임, 비밀번호를 통한 계정 생성. 이메일 중복 검증 및 bcrypt 암호화 적용. UserRole.USER로 기본 역할 할당"
REQ-BE-001,사용자 인증 및 권한 관리,REQ-BE-001-02,JWT 기반 로그인,"이메일과 비밀번호 검증 후 AccessToken과 RefreshToken 발급. 사용자 정보를 JWT payload에 포함"
REQ-BE-001,사용자 인증 및 권한 관리,REQ-BE-001-03,JWT 토큰 갱신,"RefreshToken을 검증하여 새로운 AccessToken과 RefreshToken 발급. 만료된 토큰 자동 정리"
REQ-BE-001,사용자 인증 및 권한 관리,REQ-BE-001-04,로그아웃 처리,사용자 RefreshToken을 null로 설정하여 토큰 무효화 처리
REQ-BE-001,사용자 인증 및 권한 관리,REQ-BE-001-05,사용자 프로필 조회,"JWT 토큰에서 사용자 정보를 추출하여 프로필 정보 반환. 비밀번호 필드 제외"
REQ-BE-001,사용자 인증 및 권한 관리,REQ-BE-001-06,관리자 계정 생성,"SUPER_ADMIN 권한으로만 ADMIN 계정 생성 가능. 별도 CreateAdminDto 사용"
REQ-BE-001,사용자 인증 및 권한 관리,REQ-BE-001-07,역할 기반 접근 제어,"USER, ADMIN, SUPER_ADMIN 3단계 권한 시스템. RolesGuard와 @Roles 데코레이터 활용"
REQ-BE-001,사용자 인증 및 권한 관리,REQ-BE-001-08,글로벌 JWT 가드,"APP_GUARD로 JwtAuthGuard 전역 적용. @Public() 데코레이터로 인증 우회 가능"
REQ-BE-002,XRP 포트폴리오 관리,REQ-BE-002-01,XRP 보유 정보 생성/수정,"사용자별 XRP 수량(precision 20, scale 8), 평균 매수가(precision 10, scale 2), 총 투자 금액, 메모 저장"
REQ-BE-002,XRP 포트폴리오 관리,REQ-BE-002-02,XRP 보유 정보 조회,"사용자 고유 XRP 보유 정보 조회. 보유 정보가 없을 경우 404 에러 반환"
REQ-BE-002,XRP 포트폴리오 관리,REQ-BE-002-03,XRP 보유 요약 정보,"현재 가격 파라미터를 통해 실시간 수익률, 평가 손익 계산. 총 수량, 평균 매수가, 투자 금액 요약"
REQ-BE-002,XRP 포트폴리오 관리,REQ-BE-002-04,XRP 보유 정보 수정,"기존 보유 정보 업데이트. 수량, 평균가, 메모 수정 가능"
REQ-BE-002,XRP 포트폴리오 관리,REQ-BE-002-05,XRP 보유 정보 삭제,"사용자 보유 정보 완전 삭제. 복구 불가능한 삭제 처리"
REQ-BE-003,실시간 업비트 데이터,REQ-BE-003-01,WebSocket 실시간 연결,"Socket.IO 기반 클라이언트 연결 관리. CORS 허용 및 WebSocket transport 전용"
REQ-BE-003,실시간 업비트 데이터,REQ-BE-003-02,캔들 데이터 구독,"KRW-XRP, KRW-BTC, KRW-ETH 마켓별 캔들 데이터 구독. 최대 200개 캔들 유지"
REQ-BE-003,실시간 업비트 데이터,REQ-BE-003-03,실시간 티커 데이터,"업비트 WebSocket에서 실시간 가격, 변동률, 거래량 데이터 수신 및 클라이언트 전송"
REQ-BE-003,실시간 업비트 데이터,REQ-BE-003-04,분봉 캔들 업데이트,Cron 스케줄러로 매분 새로운 캔들 데이터 조회 및 구독 클라이언트에 전송
REQ-BE-003,실시간 업비트 데이터,REQ-BE-003-05,서버 상태 브로드캐스트,"30초마다 연결된 클라이언트 수, 서버 가동 시간 정보를 모든 클라이언트에 전송"
